BST Model Scaled Impulse,,,,,,,,,,,,,,,,,
scaled_distance_Mf5.2,scaled_impulse_Mf5.2,scaled_distance_Mf4.0,scaled_impulse_Mf4.0,scaled_distance_Mf3.0,scaled_impulse_Mf3.0,scaled_distance_Mf2.0,scaled_impulse_Mf2.0,scaled_distance_Mf1.4,scaled_impulse_Mf1.4,scaled_distance_Mf1.0,scaled_impulse_Mf1.0,scaled_distance_Mf0.7,scaled_impulse_Mf0.7,scaled_distance_Mf0.35,scaled_impulse_Mf0.35,scaled_distance_Mf0.2,scaled_impulse_Mf0.2
0.124990068,0.292318795,0.13140232,0.274658343,0.168754503,0.204274701,0.168754503,0.204274701,0.182814485,0.183175493,0.188362414,0.166862819,0.357350896,0.074224604,0.40290782,0.061576472,0.364248809,0.048055879
0.128796248,0.278980256,0.142364705,0.25802994,0.179206947,0.194927253,0.179206947,0.194927253,0.192206251,0.177536003,0.196055581,0.15924167,0.379497602,0.071936181,0.423606486,0.059680696,0.375353555,0.046580566
0.134056591,0.266238351,0.142364705,0.25802994,0.180995608,0.186049479,0.180995608,0.186049479,0.202060001,0.164240776,0.202019004,0.149634572,0.419462817,0.065509231,0.440892666,0.056077612,0.398589009,0.043764426
0.139531779,0.254078409,0.148164183,0.235040513,0.186513567,0.18033777,0.186513567,0.18033777,0.212418918,0.151941194,0.208170858,0.14280673,0.449935435,0.062508762,0.468201011,0.053511546,0.419079976,0.043080607
0.143785643,0.246278215,0.157335968,0.220830573,0.190274626,0.172116699,0.190274626,0.172116699,0.221087132,0.142768099,0.218872664,0.140575375,0.482605469,0.058726996,0.487323448,0.051067505,0.445052321,0.041752386
0.15116726,0.235019317,0.16876021,0.207470374,0.200042878,0.164248182,0.200042878,0.164248182,0.230093508,0.130048037,0.227788829,0.128050676,0.517630184,0.054324179,0.51752516,0.04949304,0.463229311,0.039845423
0.15116726,0.235019317,0.179206947,0.194927253,0.210319722,0.159191414,0.210319722,0.159191414,0.239499171,0.126049885,0.241914149,0.126044201,0.549672966,0.05103988,0.544075285,0.046502916,0.482132386,0.037439849
0.162149073,0.224254908,0.186519875,0.183158974,0.216717018,0.149587348,0.216717018,0.149587348,0.259462104,0.114798641,0.241914149,0.126044201,0.589624871,0.049464036,0.583600596,0.044372978,0.496847816,0.036858175
0.172174917,0.204256279,0.196088735,0.172093417,0.225552998,0.138391366,0.225552998,0.138391366,0.278282953,0.1045564,0.254324851,0.118429236,0.619852899,0.045759798,0.601372317,0.042348235,0.511960439,0.03463451
0.177417962,0.194936043,0.208234228,0.164218559,0.234749237,0.128033355,0.234749237,0.128033355,0.295489473,0.095232258,0.272791504,0.111264294,0.65826808,0.044348975,0.632245357,0.040412235,0.538261488,0.033568205
0.177417962,0.194936043,0.208234228,0.164218559,0.251794495,0.120287367,0.251794495,0.120287367,0.310648702,0.089478797,0.283904149,0.101351094,0.65826808,0.044348975,0.671405851,0.038563004,0.577364445,0.032030706
0.182820668,0.18604109,0.223339112,0.149567114,0.262069515,0.113025297,0.262069515,0.113025297,0.326596676,0.085388169,0.295489473,0.095232258,0.685130135,0.041671509,0.705850377,0.036233218,0.600986023,0.031531649
0.196095367,0.174785646,0.232445087,0.138372646,0.281069994,0.101355664,0.281069994,0.101355664,0.339935656,0.081488223,0.31375989,0.086739625,0.749823414,0.040381269,0.734703823,0.035119277,0.631839232,0.030090142
0.204111268,0.169412097,0.246817405,0.126032835,0.295489473,0.095232258,0.295489473,0.095232258,0.35739924,0.078979416,0.329856429,0.081499247,0.788264267,0.037357216,0.757102521,0.034041117,0.657645041,0.028715831
0.212440471,0.159184236,0.256889324,0.118423896,0.295489473,0.095232258,0.295489473,0.095232258,0.371983691,0.074211217,0.346790483,0.077773413,0.845529118,0.035646173,0.780197274,0.03325315,0.677683012,0.027619058
0.225560626,0.14055636,0.272782279,0.109550486,0.310638196,0.088100552,0.310638196,0.088100552,0.395023899,0.070815371,0.368295165,0.076554752,0.880017885,0.033235161,0.820292379,0.032480493,0.719645689,0.026151469
0.241930512,0.13001872,0.283913751,0.102936631,0.310638196,0.088100552,0.310638196,0.088100552,0.41115761,0.067581011,0.368295165,0.076554752,0.95341823,0.030981636,0.845271803,0.030998405,0.779709296,0.024952549
0.254333453,0.120281943,0.298469026,0.095227964,0.346837398,0.082755561,0.346837398,0.082755561,0.432250856,0.063498101,0.387202573,0.073054961,1.07518302,0.028211118,0.871011898,0.029583944,0.811527023,0.023446097
0.264729985,0.116584036,0.316966547,0.092291985,0.346837398,0.082755561,0.346837398,0.082755561,0.459039462,0.061540387,0.39501054,0.0697246,1.07518302,0.028211118,0.934288097,0.028228933,0.853131206,0.021690277
0.270068284,0.111269311,0.316966547,0.092291985,0.364630883,0.07775588,0.364630883,0.07775588,0.492387196,0.0587217,0.41949119,0.067574916,1.130303934,0.026098458,0.982252251,0.026938415,0.89695929,0.021022491
0.283923352,0.104546971,0.326618767,0.088080691,0.387202573,0.073054961,0.387202573,0.073054961,0.528139673,0.055169051,0.445458889,0.063489512,1.188290893,0.024521719,1.043091738,0.025705734,0.952483624,0.019751525
0.283923352,0.104546971,0.326618767,0.088080691,0.411185421,0.069712025,0.411185421,0.069712025,0.566488155,0.051831336,0.468311863,0.05965379,1.300429058,0.023215572,1.064161744,0.024917693,1.042298324,0.018127842
0.295529448,0.101332815,0.357447591,0.08403882,0.441026881,0.064485649,0.441026881,0.064485649,0.601514698,0.047209115,0.492353893,0.056926647,1.394830267,0.021642405,1.085675714,0.024342008,1.106838274,0.017164586
0.307589167,0.095215083,0.357447591,0.08403882,0.473066059,0.061532063,0.473066059,0.061532063,0.638771773,0.045048864,0.528157534,0.056032115,1.481224325,0.020652066,1.141411752,0.023229185,1.106838274,0.017164586
0.307589167,0.095215083,0.391146594,0.076534043,0.507398459,0.056918947,0.507398459,0.056918947,0.692038611,0.041669629,0.528157534,0.056032115,1.481224325,0.020652066,1.224310924,0.021993868,1.163660749,0.016379887
0.333227595,0.086716161,0.411213233,0.071910235,0.528157534,0.056032115,0.528157534,0.056032115,0.734902625,0.03976286,0.555253122,0.052646933,1.526278735,0.019406121,1.274271584,0.020666039,1.235736453,0.015630356
0.333227595,0.086716161,0.411213233,0.071910235,0.538807868,0.053477775,0.538807868,0.053477775,0.796212691,0.037355532,0.577930973,0.050242382,1.637157952,0.018517277,1.366797071,0.019415749,1.352237689,0.014234545
0.361027476,0.081466179,0.428008154,0.068625869,0.57220031,0.051828999,0.57220031,0.051828999,0.837088379,0.03564778,0.577930973,0.050242382,1.703965729,0.017399339,1.451356618,0.017960942,1.407418677,0.013375167
0.375759985,0.076547848,0.428008154,0.068625869,0.60760059,0.047945492,0.60760059,0.047945492,0.871218119,0.032979694,0.613706546,0.047204858,1.809446059,0.01634742,1.525917458,0.017407972,1.479672242,0.012763706
0.399047587,0.074187797,0.44548902,0.06549151,0.638771773,0.045048864,0.638771773,0.045048864,0.943900456,0.030983033,0.651696728,0.044350974,1.960334805,0.015121157,1.604200219,0.016356268,1.540157643,0.012371303
0.399047587,0.074187797,0.44548902,0.06549151,0.671564814,0.042989402,0.671564814,0.042989402,1.012471774,0.029563941,0.678325034,0.04265511,2.060973784,0.014429876,1.686556086,0.015608522,1.603007111,0.011624414
0.436712808,0.070783446,0.468391059,0.064468205,0.720351827,0.041020391,0.720351827,0.041020391,1.064413696,0.027777834,0.70606525,0.041665872,2.145221377,0.013986249,1.827320694,0.014892946,1.702410528,0.011442267
0.450011523,0.06755359,0.468391059,0.064468205,0.780447976,0.038536929,0.780447976,0.038536929,1.119020348,0.026099635,0.742338084,0.04038309,2.371136467,0.012736684,1.864168744,0.01421402,1.771941002,0.010919663
0.473098057,0.063472337,0.487488284,0.059643032,0.837173311,0.037347111,0.837173311,0.037347111,1.200232375,0.024142921,0.772630798,0.037945055,2.46797929,0.01215496,1.959738227,0.013149568,1.844248892,0.010260413
0.49740262,0.061518191,0.487488284,0.059643032,0.862608444,0.034553395,0.862608444,0.034553395,1.287425378,0.023037122,0.812295846,0.036210352,2.647180482,0.011419587,2.081121984,0.012547854,1.919507463,0.009640965
0.51771772,0.058708462,0.533501227,0.056906116,0.89780905,0.032467314,0.89780905,0.032467314,1.380905969,0.021643381,0.84547193,0.034556511,2.839393562,0.010728705,2.209949361,0.011789243,2.038468314,0.009343724
0.549784514,0.05602201,0.583837485,0.053458487,0.89780905,0.032467314,0.89780905,0.032467314,1.496058984,0.020019854,0.888846411,0.032468778,2.839393562,0.010728705,2.277323433,0.011427314,2.142973533,0.008643995
0.589684695,0.051821988,0.607662238,0.050231056,0.934509299,0.03146915,0.934509299,0.03146915,1.572863135,0.019104623,0.934477696,0.03098443,2.985060398,0.01008053,2.418459812,0.011074998,2.321831995,0.008247709
0.589684695,0.051821988,0.638858189,0.047934684,1.002466182,0.030974651,1.002466182,0.030974651,1.670171357,0.017673128,0.992391647,0.030029147,3.138200247,0.009471514,2.517235432,0.010569168,2.490505586,0.007869946
